Date,Category,sums
2020-06-05,School_Closed,86
2020-06-06,Stay_Home_Order,93
2020-06-06,Status_of_Reopening,0
2020-06-06,NonEss_Business_Closed,70
2020-06-06,Gathering_Limit,157
2020-06-06,Emergency_Declaration,51
2020-06-06,Travel_Quarantine,65
2020-06-06,Mask_Requirement,0
2020-06-06,Restaurants,100
2020-06-06,School_Closed,86
2020-06-07,Stay_Home_Order,93
2020-06-07,Status_of_Reopening,0
2020-06-07,NonEss_Business_Closed,70
2020-06-07,Gathering_Limit,157
2020-06-07,Emergency_Declaration,51
2020-06-07,Travel_Quarantine,65
2020-06-07,Mask_Requirement,0
2020-06-07,Restaurants,100
2020-06-07,School_Closed,86
2020-06-08,Stay_Home_Order,93
2020-06-08,Status_of_Reopening,0
2020-06-08,NonEss_Business_Closed,70
2020-06-08,Gathering_Limit,157
2020-06-08,Emergency_Declaration,51
2020-06-08,Travel_Quarantine,65
2020-06-08,Mask_Requirement,0
2020-06-08,Restaurants,100
2020-06-08,School_Closed,86
2020-06-09,Stay_Home_Order,85
2020-06-09,Status_of_Reopening,0
2020-06-09,NonEss_Business_Closed,70
2020-06-09,Gathering_Limit,157
2020-06-09,Emergency_Declaration,51
2020-06-09,Travel_Quarantine,64
2020-06-09,Mask_Requirement,0
2020-06-09,Restaurants,95
2020-06-09,School_Closed,86
2020-06-10,Stay_Home_Order,85
2020-06-10,Status_of_Reopening,0
2020-06-10,NonEss_Business_Closed,70
2020-06-10,Gathering_Limit,157
2020-06-10,Emergency_Declaration,51
2020-06-10,Travel_Quarantine,64
2020-06-10,Mask_Requirement,0
2020-06-10,Restaurants,95
2020-06-10,School_Closed,86
2020-06-11,Stay_Home_Order,85
2020-06-11,Status_of_Reopening,0
2020-06-11,NonEss_Business_Closed,70
2020-06-11,Gathering_Limit,157
2020-06-11,Emergency_Declaration,51
2020-06-11,Travel_Quarantine,64
2020-06-11,Mask_Requirement,0
2020-06-11,Restaurants,95
2020-06-11,School_Closed,86
2020-06-12,Stay_Home_Order,77
2020-06-12,Status_of_Reopening,0
2020-06-12,NonEss_Business_Closed,71
2020-06-12,Gathering_Limit,151
2020-06-12,Emergency_Declaration,51
2020-06-12,Travel_Quarantine,64
2020-06-12,Mask_Requirement,0
2020-06-12,Restaurants,92
2020-06-12,School_Closed,86
2020-06-13,Stay_Home_Order,77
2020-06-13,Status_of_Reopening,0
2020-06-13,NonEss_Business_Closed,71
2020-06-13,Gathering_Limit,151
2020-06-13,Emergency_Declaration,51
2020-06-13,Travel_Quarantine,64
2020-06-13,Mask_Requirement,0
2020-06-13,Restaurants,92
2020-06-13,School_Closed,86
2020-06-14,Stay_Home_Order,77
2020-06-14,Status_of_Reopening,0
2020-06-14,NonEss_Business_Closed,71
2020-06-14,Gathering_Limit,151
2020-06-14,Emergency_Declaration,51
2020-06-14,Travel_Quarantine,64
2020-06-14,Mask_Requirement,0
2020-06-14,Restaurants,92
2020-06-14,School_Closed,86
2020-06-15,Stay_Home_Order,73
2020-06-15,Status_of_Reopening,0
2020-06-15,NonEss_Business_Closed,67
2020-06-15,Gathering_Limit,141
2020-06-15,Emergency_Declaration,51
2020-06-15,Travel_Quarantine,61
2020-06-15,Mask_Requirement,0
2020-06-15,Restaurants,90
2020-06-15,School_Closed,86
2020-06-16,Stay_Home_Order,73
2020-06-16,Status_of_Reopening,0
2020-06-16,NonEss_Business_Closed,67
2020-06-16,Gathering_Limit,141
2020-06-16,Emergency_Declaration,51
2020-06-16,Travel_Quarantine,61
2020-06-16,Mask_Requirement,0
2020-06-16,Restaurants,89
2020-06-16,School_Closed,86
2020-06-17,Stay_Home_Order,73
2020-06-17,Status_of_Reopening,0
2020-06-17,NonEss_Business_Closed,67
2020-06-17,Gathering_Limit,141
2020-06-17,Emergency_Declaration,51
2020-06-17,Travel_Quarantine,61
2020-06-17,Mask_Requirement,0
2020-06-17,Restaurants,89
2020-06-17,School_Closed,86
2020-06-18,Stay_Home_Order,73
2020-06-18,Status_of_Reopening,0
2020-06-18,NonEss_Business_Closed,67
2020-06-18,Gathering_Limit,141
